"date","page","query","device","country","countryName","clicks","impressions","ctr","position"
2017-03-07,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda navigator","DESKTOP","fin","Finland",0,1,0,44
2017-03-10,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","fra","France",0,2,0,44
2017-03-13,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","MOBILE","deu","Germany",0,1,0,10
2017-03-13,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda cloud","DESKTOP","usa","United States",0,1,0,43
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","can","Canada",0,1,0,10
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","chn","China",0,1,0,35
2017-03-02,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between conda and anaconda","DESKTOP","ukr","Ukraine",0,1,0,8
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","usa","United States",0,1,0,35
2017-03-11,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","ind","India",0,1,0,9
2017-03-07,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda vs anaconda","DESKTOP","dnk","Denmark",0,1,0,20
2017-03-16,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","MOBILE","twn","Taiwan, Province of China",0,1,0,10
2017-03-01,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","chn","China",0,1,0,16
2017-03-05,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda anaconda","DESKTOP","chn","China",0,1,0,25
2017-03-15,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","bra","Brazil",0,1,0,12
2017-03-11,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda navigator","DESKTOP","usa","United States",0,1,0,38
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","sgp","Singapore",0,1,0,11
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","download miniconda","DESKTOP","deu","Germany",0,1,0,39
2017-03-10,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","che","Switzerland",0,1,0,9
2017-03-03,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","dza","Algeria",0,1,0,46
2017-03-13,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda miniconda","DESKTOP","fra","France",0,1,0,21
2017-03-12,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","sgp","Singapore",0,1,0,28
2017-03-01,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","can","Canada",0,1,0,9
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between conda and anaconda","DESKTOP","usa","United States",0,1,0,10
2017-03-11,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model excel","DESKTOP","usa","United States",0,1,0,40
2017-03-03,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,1,0,54
2017-03-13,"http://getoptimise.com/","interaction optimiser","DESKTOP","gbr","United Kingdom",0,2,0,35
2017-03-14,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","chn","China",0,1,0,37
2017-02-28,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda vs anaconda","DESKTOP","chn","China",0,1,0,25
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","usa","United States",0,1,0,46
2017-03-12,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years data science","DESKTOP","fra","France",0,1,0,17
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","aus","Australia",0,1,0,33
2017-03-05,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","usa","United States",0,1,0,13
2017-03-14,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","conda vs miniconda","DESKTOP","rus","Russian Federation",0,1,0,34
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","usa","United States",0,3,0,11
2017-03-10,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda rstudio","DESKTOP","chn","China",0,1,0,44
2017-03-12,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","svk","Slovakia",0,1,0,10
2017-03-06,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,1,0,55
2017-03-07,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","ind","India",0,2,0,9.5
2017-03-13,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda install rstudio","DESKTOP","chn","China",0,1,0,25
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","rus","Russian Federation",0,1,0,45
2017-03-04,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda miniconda","DESKTOP","chn","China",0,1,0,24
2017-03-12,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","aus","Australia",0,1,0,12
2017-03-13,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda rstudio","DESKTOP","chn","China",0,1,0,36
2017-03-07,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","rus","Russian Federation",0,1,0,42
2017-03-03,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","ind","India",0,1,0,10
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","che","Switzerland",0,1,0,33
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and python","DESKTOP","chn","China",0,1,0,29
2017-03-06,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","chn","China",0,1,0,16
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","hkg","Hong Kong",0,1,0,32
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda anaconda difference","DESKTOP","chn","China",0,1,0,14
2017-03-06,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda anaconda","DESKTOP","chn","China",0,1,0,24
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda cloud","DESKTOP","usa","United States",0,2,0,44
2017-03-02,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","idn","Indonesia",0,1,0,42
2017-03-06,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","mys","Malaysia",0,1,0,10
2017-03-12,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","jpn","Japan",0,1,0,48
2017-03-16,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,3,0,36.3333333333333
2017-03-10,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","chn","China",0,1,0,17
2017-03-07,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","can","Canada",0,1,0,10
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","fra","France",0,1,0,44
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","grc","Greece",0,1,0,43
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","can","Canada",0,1,0,33
2017-03-04,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,1,0,32
2017-03-01,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","deu","Germany",0,2,0,44
2017-03-16,"http://getoptimise.com/blog/industry/business-intelligence-vs-analytics/","business intelligence vs analytics","DESKTOP","usa","United States",0,1,0,46
